班,実験名,サンプル名,採水時刻,希釈倍率,コロニー数
3,塩素,水道水,t0,3.00E+00,>300
3,塩素,水道水,t0,3,>300
3,塩素,水道水,t0,4,100
3,塩素,水道水,t0,4,91
3,塩素,水道水,t0,5,7
3,塩素,水道水,t0,5,3
3,塩素,水道水,t1,2,8
3,塩素,水道水,t1,2,5
3,塩素,水道水,t1,3,1
3,塩素,水道水,t1,3,0
3,塩素,水道水,t1,4,0
3,塩素,水道水,t1,4,0
3,塩素,水道水,t2,1,158
3,塩素,水道水,t2,1,148
3,塩素,水道水,t2,2,16
3,塩素,水道水,t2,2,9
3,塩素,水道水,t2,3,2
3,塩素,水道水,t2,3,0
3,塩素,水道水,t3,1,178
3,塩素,水道水,t3,1,173
3,塩素,水道水,t3,2,23
3,塩素,水道水,t3,2,21
3,塩素,水道水,t3,3,3
3,塩素,水道水,t3,3,1
3,塩素,緩衝液A,t0,3,>300
3,塩素,緩衝液A,t0,3,>300
3,塩素,緩衝液A,t0,4,87
3,塩素,緩衝液A,t0,4,83
3,塩素,緩衝液A,t0,5,15
3,塩素,緩衝液A,t0,5,10
3,塩素,緩衝液A,t1,2,6
3,塩素,緩衝液A,t1,2,12
3,塩素,緩衝液A,t1,3,0
3,塩素,緩衝液A,t1,3,0
3,塩素,緩衝液A,t1,4,0
3,塩素,緩衝液A,t1,4,0
3,塩素,緩衝液A,t2,1,148
3,塩素,緩衝液A,t2,1,129
3,塩素,緩衝液A,t2,2,25
3,塩素,緩衝液A,t2,2,17
3,塩素,緩衝液A,t2,3,3
3,塩素,緩衝液A,t2,3,2
3,塩素,緩衝液A,t3,1,97
3,塩素,緩衝液A,t3,1,90
3,塩素,緩衝液A,t3,2,12
3,塩素,緩衝液A,t3,2,8
3,塩素,緩衝液A,t3,3,3
3,塩素,緩衝液A,t3,3,2
3,塩素,緩衝液B,t0,3,>300
3,塩素,緩衝液B,t0,3,>300
3,塩素,緩衝液B,t0,4,172
3,塩素,緩衝液B,t0,4,155
3,塩素,緩衝液B,t0,5,25
3,塩素,緩衝液B,t0,5,18
3,塩素,緩衝液B,t1,2,>300
3,塩素,緩衝液B,t1,2,>300
3,塩素,緩衝液B,t1,3,>300
3,塩素,緩衝液B,t1,3,>300
3,塩素,緩衝液B,t1,4,62
3,塩素,緩衝液B,t1,4,44
3,塩素,緩衝液B,t2,1,>300
3,塩素,緩衝液B,t2,1,>300
3,塩素,緩衝液B,t2,2,>300
3,塩素,緩衝液B,t2,2,>300
3,塩素,緩衝液B,t2,3,432
3,塩素,緩衝液B,t2,3,364
3,塩素,緩衝液B,t3,1,>300
3,塩素,緩衝液B,t3,1,>300
3,塩素,緩衝液B,t3,2,>300
3,塩素,緩衝液B,t3,2,>300
3,塩素,緩衝液B,t3,3,109
3,塩素,緩衝液B,t3,3,79
3,紫外線,BW,t0,1,>300
3,紫外線,BW,t0,1,>300
3,紫外線,BW,t0,2,>300
3,紫外線,BW,t0,2,>300
3,紫外線,BW,t0,3,278
3,紫外線,BW,t0,3,185
3,紫外線,BW,t0,4,25
3,紫外線,BW,t0,4,18
3,紫外線,BW,t1,1,271
3,紫外線,BW,t1,1,258
3,紫外線,BW,t1,2,35
3,紫外線,BW,t1,2,30
3,紫外線,BW,t1,3,5
3,紫外線,BW,t1,3,3
3,紫外線,BW,t2,1,0
3,紫外線,BW,t2,1,0
3,紫外線,BW,t2,2,1
3,紫外線,BW,t2,2,0
3,紫外線,BW,t2,3,0
3,紫外線,BW,t2,3,0
3,紫外線,BW,t3,1,0
3,紫外線,BW,t3,1,0
3,紫外線,BW,t3,2,0
3,紫外線,BW,t3,2,0
3,紫外線,BW,t3,3,0
3,紫外線,BW,t3,3,0
3,紫外線,phr,t0,1,>300
3,紫外線,phr,t0,1,>300
3,紫外線,phr,t0,2,>300
3,紫外線,phr,t0,2,>300
3,紫外線,phr,t0,3,>300
3,紫外線,phr,t0,3,>300
3,紫外線,phr,t0,4,57
3,紫外線,phr,t0,4,46
3,紫外線,phr,t1,1,>300
3,紫外線,phr,t1,1,>300
3,紫外線,phr,t1,2,>300
3,紫外線,phr,t1,2,>300
3,紫外線,phr,t1,3,161
3,紫外線,phr,t1,3,107
3,紫外線,phr,t2,1,51
3,紫外線,phr,t2,1,49
3,紫外線,phr,t2,2,7
3,紫外線,phr,t2,2,3
3,紫外線,phr,t2,3,1
3,紫外線,phr,t2,3,0
3,紫外線,phr,t3,1,0
3,紫外線,phr,t3,1,0
3,紫外線,phr,t3,2,0
3,紫外線,phr,t3,2,0
3,紫外線,phr,t3,3,0
3,紫外線,phr,t3,3,0
3,紫外線,uvr,t0,1,>300
3,紫外線,uvr,t0,1,>300
3,紫外線,uvr,t0,2,>300
3,紫外線,uvr,t0,2,>300
3,紫外線,uvr,t0,3,259
3,紫外線,uvr,t0,3,244
3,紫外線,uvr,t0,4,30
3,紫外線,uvr,t0,4,28
3,紫外線,uvr,t1,1,>300
3,紫外線,uvr,t1,1,253
3,紫外線,uvr,t1,2,31
3,紫外線,uvr,t1,2,26
3,紫外線,uvr,t1,3,4
3,紫外線,uvr,t1,3,3
3,紫外線,uvr,t2,1,40
3,紫外線,uvr,t2,1,6
3,紫外線,uvr,t2,2,0
3,紫外線,uvr,t2,2,0
3,紫外線,uvr,t2,3,0
3,紫外線,uvr,t2,3,0
3,紫外線,uvr,t3,1,0
3,紫外線,uvr,t3,1,0
3,紫外線,uvr,t3,2,0
3,紫外線,uvr,t3,2,0
3,紫外線,uvr,t3,3,0
3,紫外線,uvr,t3,3,0