班,条件,時間(分),吸光度,吸光度_希釈,TOC_vial,TOC_filename,pH,O3_conc
3,酸性,0,0.478,3,7,,2.17,1.06
3,酸性,2,,2,,,,
3,酸性,4,0.001,1,,,,
3,酸性,6,-0.001,1,,,,
3,酸性,8,0.001,1,,,,
3,酸性,10,-0.004,1,,,,
3,酸性,15,-0.007,1,,,,
3,酸性,20,-0.003,1,8,,2.11,0.83
3,中性,0,5.799,3,9,,7,1.06
3,中性,2,0.354,1,,,,
3,中性,4,0.153,1,,,,
3,中性,6,0.025,1,,,,
3,中性,8,-0.001,1,,,,
3,中性,10,0.002,1,,,,
3,中性,15,-0.005,1,,,,
3,中性,20,-0.002,1,10,,7.01,0.03
3,アルカリ性,0,5.217,3,11,,12.25,1.06
3,アルカリ性,2,0.379,1,,,,
3,アルカリ性,4,0.256,1,,,,
3,アルカリ性,6,0.14,1,,,,
3,アルカリ性,8,0.068,1,,,,
3,アルカリ性,10,0.053,1,,,,
3,アルカリ性,15,0.017,1,,,,
3,アルカリ性,20,0.005,1,12,,11.88,0
1,酸性,0,1.743,4,,,2.51,0.54
1,酸性,2,1.287,1,,,,
1,酸性,4,0.317,1,,,,
1,酸性,6,0.065,1,,,,
1,酸性,8,0.019,1,,,,
1,酸性,10,0.007,1,,,,
1,酸性,15,0.007,1,,,,
1,酸性,20,0.007,1,,,2.53,0.1
1,中性,0,1.439,4,,,7.1,0.54
1,中性,2,1.627,1,,,,
1,中性,4,0.087,1,,,,
1,中性,6,0.017,1,,,,
1,中性,8,0.011,1,,,,
1,中性,10,0.005,1,,,,
1,中性,15,0.001,1,,,,
1,中性,20,0,1,,,6.97,0.02
1,アルカリ性,0,1.627,4,,,12.25,0.54
1,アルカリ性,2,1.727,1,,,,
1,アルカリ性,4,0.252,1,,,,
1,アルカリ性,6,0.107,1,,,,
1,アルカリ性,8,0.073,1,,,,
1,アルカリ性,10,0.05,1,,,,
1,アルカリ性,15,0.011,1,,,,
1,アルカリ性,20,0.007,1,,,12.08,0.01
4,酸性,0,8.5,4,,,2.43,1.06
4,酸性,2,1.498,1,,,,
4,酸性,4,0.341,1,,,,
4,酸性,6,0.091,1,,,,
4,酸性,8,0.023,1,,,,
4,酸性,10,0.011,1,,,,
4,酸性,15,0.009,1,,,,
4,酸性,20,0.008,1,,,2.41,0.35
4,中性,0,8.34,4,,,7.07,1.06
4,中性,2,1.277,1,,,,
4,中性,4,0.07,1,,,,
4,中性,6,0.038,1,,,,
4,中性,8,0.026,1,,,,
4,中性,10,0.014,1,,,,
4,中性,15,0.234,1,,,,
4,中性,20,0.015,1,,,7.03,0.17
4,アルカリ性,0,8.745,5,,,12.3,1.06
4,アルカリ性,2,1.055,1,,,,
4,アルカリ性,4,0.307,1,,,,
4,アルカリ性,6,0.121,1,,,,
4,アルカリ性,8,0.088,1,,,,
4,アルカリ性,10,0.052,1,,,,
4,アルカリ性,15,0.053,1,,,,
4,アルカリ性,20,0.058,1,,,12.13,0.07